Signal,Ticker,Probability,Close,Start,End
buy,011155,0.605,26300.0,20230214,20230228
buy,030200,0.639,30450.0,20230223,20230228
buy,010060,0.669,90800.0,20230223,20230228
buy,025530,0.681,3400.0,20230221,20230228
buy,034730,0.62,178600.0,20230221,20230228
buy,096770,0.617,150100.0,20230222,20230228
buy,035250,0.61,20200.0,20230221,20230228
buy,267290,0.659,23200.0,20230221,20230228
buy,009290,0.631,5770.0,20230221,20230228
sell,001570,0.632,38500.0,20230222,20230228
sell,011780,0.741,157300.0,20230220,20230228
buy,019685,0.689,1955.0,20230217,20230228
buy,003220,0.638,15260.0,20230221,20230228
buy,001440,0.624,1458.0,20230222,20230228
buy,003490,0.656,22750.0,20230220,20230228
sell,005880,0.773,2340.0,20230221,20230228
buy,170900,0.665,59300.0,20230224,20230228
buy,002760,0.683,1689.0,20230220,20230228
buy,003000,0.619,8310.0,20230224,20230228
buy,003470,0.708,2765.0,20230221,20230228
buy,025820,0.647,3050.0,20230223,20230228
buy,014990,0.606,1085.0,20230221,20230228
buy,018470,0.745,2160.0,20230223,20230228
buy,063160,0.615,24200.0,20230221,20230228
buy,071320,0.624,28150.0,20230222,20230228
buy,015760,0.63,18050.0,20230214,20230228
buy,128940,0.742,259000.0,20230220,20230228
sell,180640,0.653,44800.0,20230223,20230228
buy,000880,0.611,26950.0,20230221,20230228
buy,126560,0.646,2870.0,20230224,20230228
buy,004800,0.62,67100.0,20230223,20230228
buy,005010,0.704,6350.0,20230222,20230228
